span,type,esco_uri,esco_label_en,target_lkst,matched_token,score,match_kind
PRINCE2,L,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9,ICT project management methodologies,K,prince2,0.55,tier1_ac
PDCA,K,http://data.europa.eu/esco/skill/82fea746-853f-4f1b-8ab7-55de8619cccd,lean manufacturing,K,pdca,0.75,tier1_ac
PRINCE2,K,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9,ICT project management methodologies,K,prince2,0.75,tier1_ac
low voltage components/cabinet,K,http://data.europa.eu/esco/skill/1fea0bc2-a6fa-4fe8-b36f-7a3194f8ed1c,electricity principles,K,voltage,0.75,tier1_ac
selected database(s),K,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576,database,K,database,0.75,tier1_ac
DXL scripting,K,http://data.europa.eu/esco/skill/b105ec9b-0857-41d6-8d07-a83e58b73d90,ICT system programming,K,scripting,0.75,tier1_ac
Biotechnology,K,http://data.europa.eu/esco/skill/61bef658-d7f9-4759-b1b0-0f9cb3bc581a,biotechnology,K,biotechnology,0.75,tier1_ac
FOB（Free on Board）,K,http://data.europa.eu/esco/skill/3362724b-fe06-4c5d-89a4-76fe62b9268e,scaffolding components,K,board,0.75,tier1_ac
“FOB（Free on Board）”,K,http://data.europa.eu/esco/skill/3362724b-fe06-4c5d-89a4-76fe62b9268e,scaffolding components,K,board,0.75,tier1_ac
database(s),K,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576,database,K,database,0.75,tier1_ac
Google/Facebook/Tiktok等广告投放逻辑,K,http://data.europa.eu/esco/skill/4bf59dde-8a03-483f-976a-45764f1e6d6f,search engines,K,google,0.75,tier1_ac
PYTHON,S,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),K,python,0.55,tier1_ac
python,S,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),K,python,0.55,tier1_ac
mysql,S,http://data.europa.eu/esco/skill/4da171e5-779c-4983-a76f-91c16751e99f,MySQL,K,mysql,0.55,tier1_ac
Google,S,http://data.europa.eu/esco/skill/4bf59dde-8a03-483f-976a-45764f1e6d6f,search engines,K,google,0.55,tier1_ac
MS VISIO,S,http://data.europa.eu/esco/skill/86f7126d-97fd-4da5-be96-d1cf6ecd54e6,Microsoft Visio,K,ms visio,0.55,tier1_ac
Android APP开发,S,http://data.europa.eu/esco/skill/d8829a1d-dbde-435b-b921-29d6462f35c9,Android (mobile operating systems),K,android,0.55,tier1_ac
Cobol,S,http://data.europa.eu/esco/skill/def007fa-5fed-4a5f-91a2-b0d7e3db1be1,COBOL,K,cobol,0.55,tier1_ac
JavaScript,S,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,K,javascript,0.55,tier1_ac
COBOL,S,http://data.europa.eu/esco/skill/def007fa-5fed-4a5f-91a2-b0d7e3db1be1,COBOL,K,cobol,0.55,tier1_ac
